Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Del Norte,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Humboldt,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Lake,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Lassen,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Marin,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Mendocino,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Modoc,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Napa,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Shasta,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Behavioral Health Treatment 0-6," $2,879.40 "," $2,968.35 "," $3,060.45 "
1/22-12/22,2022,COHS,Siskiyou,Partnership Health Plan,Behavioral Health Treatment 7-20," $2,300.51 "," $2,371.58 "," $2,445.17 "
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,Child, $91.00 , $94.65 , $98.47 
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,Adult, $342.79 , $353.67 , $364.99 
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,Adult Expansion, $415.41 , $428.17 , $441.43 
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,SPD," $1,100.71 "," $1,131.19 "," $1,162.76 "
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,SPD Dual, $270.22 , $276.80 , $283.63 
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,LTC," $8,992.79 "," $9,112.14 "," $9,234.60 "
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,LTC Dual," $7,661.48 "," $7,749.03 "," $7,838.62 "
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,WCM," $1,927.40 "," $1,984.15 "," $2,042.92 "
1/22-12/22,2022,COHS,Solano,Partnership Health Plan,Maternity," $11,833.18 "," $12,167.96 "," $12,513.97 "
